Price,SPY
2021-03-15,372.1617736816406
2021-03-16,371.6923522949219
2021-03-17,372.9597473144531
2021-03-18,367.5332946777344
2021-03-19,366.853271484375
2021-03-22,369.78253173828125
2021-03-23,366.8720703125
2021-03-24,365.007080078125
2021-03-25,367.0605163574219
2021-03-26,372.9756164550781
2021-03-29,372.7873840332031
2021-03-30,371.79827880859375
2021-03-31,373.3052978515625
2021-04-01,377.3366394042969
2021-04-05,382.75262451171875
2021-04-06,382.52655029296875
2021-04-07,382.96917724609375
2021-04-08,384.7871398925781
2021-04-09,387.58465576171875
2021-04-12,387.7258605957031
2021-04-13,388.87493896484375
2021-04-14,387.5469665527344
2021-04-15,391.7100830078125
2021-04-16,393.0194396972656
2021-04-19,391.08843994140625
2021-04-20,388.2251281738281
2021-04-21,391.8985290527344
2021-04-22,388.3192138671875
2021-04-23,392.52960205078125
2021-04-26,393.3489990234375
2021-04-27,393.2643127441406
2021-04-28,393.15118408203125
2021-04-29,395.65667724609375
2021-04-30,393.05712890625
2021-05-03,393.9047546386719
2021-05-04,391.4746398925781
2021-05-05,391.5971374511719
2021-05-06,394.7241516113281
2021-05-07,397.5969543457031
2021-05-10,393.659912109375
2021-05-11,390.14654541015625
2021-05-12,381.8577880859375
2021-05-13,386.44488525390625
2021-05-14,392.3788757324219
2021-05-17,391.3804626464844
2021-05-18,388.0084533691406
2021-05-19,386.99114990234375
2021-05-20,391.1544189453125
2021-05-21,390.8341979980469
2021-05-24,394.81842041015625
2021-05-25,393.9423522949219
2021-05-26,394.7241516113281
2021-05-27,394.9314270019531
2021-05-28,395.6378479003906
2021-06-01,395.28936767578125
2021-06-02,395.91094970703125
2021-06-03,394.4416198730469
2021-06-04,398.0491027832031
2021-06-07,397.6629333496094
2021-06-08,397.7477111816406
2021-06-09,397.154296875
2021-06-10,399.0005187988281
2021-06-11,399.6597595214844
2021-06-14,400.55462646484375
2021-06-15,399.8199157714844
2021-06-16,397.5875549316406
2021-06-17,397.455810546875
2021-06-18,392.09393310546875
2021-06-21,397.70709228515625
2021-06-22,399.8333435058594
2021-06-23,399.35137939453125
2021-06-24,401.7138977050781
2021-06-25,403.1407470703125
2021-06-28,403.9534606933594
2021-06-29,404.1707763671875
2021-06-30,404.51104736328125
2021-07-01,406.7506103515625
2021-07-02,409.859619140625
2021-07-06,409.11309814453125
2021-07-07,410.5589294433594
2021-07-08,407.21368408203125
2021-07-09,411.5605773925781
2021-07-12,413.0348205566406
2021-07-13,411.6266784667969
2021-07-14,412.2409973144531
2021-07-15,410.8330078125
2021-07-16,407.61053466796875
2021-07-19,401.59100341796875
2021-07-20,407.345947265625
2021-07-21,410.6439514160156
2021-07-22,411.50390625
2021-07-23,415.7375183105469
2021-07-26,416.758056640625
2021-07-27,414.858642578125
2021-07-28,414.6884765625
2021-07-29,416.408447265625
2021-07-30,414.3860778808594
2021-08-02,413.5166931152344
2021-08-03,416.8808288574219
2021-08-04,414.8302917480469
2021-08-05,417.45733642578125
2021-08-06,418.14715576171875
2021-08-09,417.8070068359375
2021-08-10,418.3266906738281
2021-08-11,419.3662109375
2021-08-12,420.62310791015625
2021-08-13,421.38848876953125
2021-08-16,422.3807678222656
2021-08-17,419.6119079589844
2021-08-18,415.0192565917969
2021-08-19,415.6617736816406
2021-08-20,418.96929931640625
2021-08-23,422.65478515625
2021-08-24,423.32568359375
2021-08-25,424.2140197753906
2021-08-26,421.7097473144531
2021-08-27,425.48028564453125
2021-08-30,427.351318359375
2021-08-31,426.71826171875
2021-09-01,426.94500732421875
2021-09-02,428.258544921875
2021-09-03,428.1545715332031
2021-09-07,426.6236267089844
2021-09-08,426.10400390625
2021-09-09,424.2802429199219
2021-09-10,420.9348449707031
2021-09-13,422.01220703125
2021-09-14,419.7347717285156
2021-09-15,423.24072265625
2021-09-16,422.5697326660156
2021-09-17,418.45343017578125
2021-09-20,411.4760437011719
2021-09-21,411.0873718261719
2021-09-22,415.0974426269531
2021-09-23,420.14093017578125
2021-09-24,420.83294677734375
2021-09-27,419.6290588378906
2021-09-28,411.1726989746094
2021-09-29,411.8647155761719
2021-09-30,406.830810546875
2021-10-01,411.6656188964844
